id,subject,language,grade,chapter,chapterName,number,pattern,question,options
math-uz-6-1-1-2,math,uz,6,1,1-bob,1,2,15 va 26 sonlarning orasidagi tub sonlarni belgilang,"""15"",""16"",""[*]17"",""18"",""[*]19"",""20"",""21"",""22"",""[*]23"",""24"",""25"",""26"""
math-uz-6-1-2-2,math,uz,6,1,1-bob,2,2,Maxraji 12ga teng bo'lgan barcha kasrlarni belgilang,"""[*]1/12"",""[*]12/12"",""1/2*1/4"",""3/4*4/2"",""[*]3/4*2/3"",""12/1"""
math-uz-6-1-3-2,math,uz,6,1,1-bob,3,2,,
math-uz-6-1-4-2,math,uz,6,1,1-bob,4,2,,
math-uz-6-1-5-2,math,uz,6,1,1-bob,5,2,,
math-uz-6-1-6-2,math,uz,6,1,1-bob,6,2,,
math-uz-6-1-7-2,math,uz,6,1,1-bob,7,2,,
math-uz-6-1-8-2,math,uz,6,1,1-bob,8,2,,
math-uz-6-1-9-2,math,uz,6,1,1-bob,9,2,,
math-uz-6-1-10-2,math,uz,6,1,1-bob,10,2,,
math-uz-6-2-11-2,math,uz,6,2,2-bob,11,2,,
math-uz-6-2-12-2,math,uz,6,2,2-bob,12,2,,
math-uz-6-2-13-2,math,uz,6,2,2-bob,13,2,,
math-uz-6-2-14-2,math,uz,6,2,2-bob,14,2,,
math-uz-6-2-15-2,math,uz,6,2,2-bob,15,2,,
math-uz-6-2-16-2,math,uz,6,2,2-bob,16,2,,
math-uz-6-2-17-2,math,uz,6,2,2-bob,17,2,,
math-uz-6-2-18-2,math,uz,6,2,2-bob,18,2,,
math-uz-6-2-19-2,math,uz,6,2,2-bob,19,2,,
math-uz-6-2-20-2,math,uz,6,2,2-bob,20,2,,
math-uz-6-3-21-2,math,uz,6,3,,21,2,,
math-uz-6-3-22-2,math,uz,6,3,,22,2,,
math-uz-6-3-23-2,math,uz,6,3,,23,2,,
math-uz-6-3-24-2,math,uz,6,3,,24,2,,
math-uz-6-3-25-2,math,uz,6,3,,25,2,,
math-uz-6-3-26-2,math,uz,6,3,,26,2,,
math-uz-6-3-27-2,math,uz,6,3,,27,2,,
math-uz-6-3-28-2,math,uz,6,3,,28,2,,
math-uz-6-3-29-2,math,uz,6,3,,29,2,,
math-uz-6-3-30-2,math,uz,6,3,,30,2,,
math-uz-6-4-31-2,math,uz,6,4,,31,2,,
math-uz-6-4-32-2,math,uz,6,4,,32,2,,
math-uz-6-4-33-2,math,uz,6,4,,33,2,,
math-uz-6-4-34-2,math,uz,6,4,,34,2,,
math-uz-6-4-35-2,math,uz,6,4,,35,2,,
math-uz-6-4-36-2,math,uz,6,4,,36,2,,
math-uz-6-4-37-2,math,uz,6,4,,37,2,,
math-uz-6-4-38-2,math,uz,6,4,,38,2,,
math-uz-6-4-39-2,math,uz,6,4,,39,2,,
math-uz-6-4-40-2,math,uz,6,4,,40,2,,
math-uz-6-5-41-2,math,uz,6,5,,41,2,,
math-uz-6-5-42-2,math,uz,6,5,,42,2,,
math-uz-6-5-43-2,math,uz,6,5,,43,2,,
math-uz-6-5-44-2,math,uz,6,5,,44,2,,
math-uz-6-5-45-2,math,uz,6,5,,45,2,,
math-uz-6-5-46-2,math,uz,6,5,,46,2,,
math-uz-6-5-47-2,math,uz,6,5,,47,2,,
math-uz-6-5-48-2,math,uz,6,5,,48,2,,
math-uz-6-5-49-2,math,uz,6,5,,49,2,,
math-uz-6-5-50-2,math,uz,6,5,,50,2,,
math-uz-6-6-51-2,math,uz,6,6,,51,2,,
math-uz-6-6-52-2,math,uz,6,6,,52,2,,
math-uz-6-6-53-2,math,uz,6,6,,53,2,,
math-uz-6-6-54-2,math,uz,6,6,,54,2,,
math-uz-6-6-55-2,math,uz,6,6,,55,2,,
math-uz-6-6-56-2,math,uz,6,6,,56,2,,
math-uz-6-6-57-2,math,uz,6,6,,57,2,,
math-uz-6-6-58-2,math,uz,6,6,,58,2,,
math-uz-6-6-59-2,math,uz,6,6,,59,2,,
math-uz-6-6-60-2,math,uz,6,6,,60,2,,
math-uz-6-7-61-2,math,uz,6,7,,61,2,,
math-uz-6-7-62-2,math,uz,6,7,,62,2,,
math-uz-6-7-63-2,math,uz,6,7,,63,2,,
math-uz-6-7-64-2,math,uz,6,7,,64,2,,
math-uz-6-7-65-2,math,uz,6,7,,65,2,,
math-uz-6-7-66-2,math,uz,6,7,,66,2,,
math-uz-6-7-67-2,math,uz,6,7,,67,2,,
math-uz-6-7-68-2,math,uz,6,7,,68,2,,
math-uz-6-7-69-2,math,uz,6,7,,69,2,,
math-uz-6-7-70-2,math,uz,6,7,,70,2,,
math-uz-6-8-71-2,math,uz,6,8,,71,2,,
math-uz-6-8-72-2,math,uz,6,8,,72,2,,
math-uz-6-8-73-2,math,uz,6,8,,73,2,,
math-uz-6-8-74-2,math,uz,6,8,,74,2,,
math-uz-6-8-75-2,math,uz,6,8,,75,2,,
math-uz-6-8-76-2,math,uz,6,8,,76,2,,
math-uz-6-8-77-2,math,uz,6,8,,77,2,,
math-uz-6-8-78-2,math,uz,6,8,,78,2,,
math-uz-6-8-79-2,math,uz,6,8,,79,2,,
math-uz-6-8-80-2,math,uz,6,8,,80,2,,
math-uz-6-9-81-2,math,uz,6,9,,81,2,,
math-uz-6-9-82-2,math,uz,6,9,,82,2,,
math-uz-6-9-83-2,math,uz,6,9,,83,2,,
math-uz-6-9-84-2,math,uz,6,9,,84,2,,
math-uz-6-9-85-2,math,uz,6,9,,85,2,,
math-uz-6-9-86-2,math,uz,6,9,,86,2,,
math-uz-6-9-87-2,math,uz,6,9,,87,2,,
math-uz-6-9-88-2,math,uz,6,9,,88,2,,
math-uz-6-9-89-2,math,uz,6,9,,89,2,,
math-uz-6-9-90-2,math,uz,6,9,,90,2,,
math-uz-6-10-91-2,math,uz,6,10,,91,2,,
math-uz-6-10-92-2,math,uz,6,10,,92,2,,
math-uz-6-10-93-2,math,uz,6,10,,93,2,,
math-uz-6-10-94-2,math,uz,6,10,,94,2,,
math-uz-6-10-95-2,math,uz,6,10,,95,2,,
math-uz-6-10-96-2,math,uz,6,10,,96,2,,
math-uz-6-10-97-2,math,uz,6,10,,97,2,,
math-uz-6-10-98-2,math,uz,6,10,,98,2,,
math-uz-6-10-99-2,math,uz,6,10,,99,2,,
math-uz-6-10-100-2,math,uz,6,10,,100,2,,