id,subject,class,chapter,number,pattern,question,a,b,c,d
math-6-2-1-1,math,6,2,1,1,Qaysi son 3:8 ga teskari son?,1:8,8,[*]8:3,-3:8
math-6-2-2-1,math,6,2,2,1,Qaysi son 1{2\over3} ga teskari son?,[*]3:5,5:3,1{3\over2},-3:5
math-6-2-3-1,math,6,2,3,1,Qaysi son 2{3\over5}+3{4\over5} ga teskari son?,5,32:5,[*]5:32:00 AM,5:7
math-6-2-4-1,math,6,2,4,1,,,,,
math-6-2-5-1,math,6,2,5,1,,,,,
math-6-2-6-1,math,6,2,6,1,,,,,
math-6-2-7-1,math,6,2,7,1,,,,,
math-6-2-8-1,math,6,2,8,1,,,,,
math-6-2-9-1,math,6,2,9,1,,,,,
math-6-2-10-1,math,6,2,10,1,,,,,
math-6-2-11-1,math,6,2,11,1,,,,,
math-6-2-12-1,math,6,2,12,1,,,,,
math-6-2-13-1,math,6,2,13,1,,,,,
math-6-2-14-1,math,6,2,14,1,,,,,
math-6-2-15-1,math,6,2,15,1,,,,,
math-6-2-16-1,math,6,2,16,1,,,,,
math-6-2-17-1,math,6,2,17,1,,,,,
math-6-2-18-1,math,6,2,18,1,,,,,
math-6-2-19-1,math,6,2,19,1,,,,,
math-6-2-20-1,math,6,2,20,1,,,,,
math-6-2-21-1,math,6,2,21,1,,,,,
math-6-2-22-1,math,6,2,22,1,,,,,
math-6-2-23-1,math,6,2,23,1,,,,,
math-6-2-24-1,math,6,2,24,1,,,,,
math-6-2-25-1,math,6,2,25,1,,,,,
math-6-2-26-1,math,6,2,26,1,,,,,
math-6-2-27-1,math,6,2,27,1,,,,,
math-6-2-28-1,math,6,2,28,1,,,,,
math-6-2-29-1,math,6,2,29,1,,,,,
math-6-2-30-1,math,6,2,30,1,,,,,